MainTopic,SubTopic,Book,Chapter,Verse,Verses
Earth,"Agriculture - Farming, Fields",Genesis,,,"2:5-6; 3:18; 3:23; 4:2; 4:8"

Earth,Darkness,Genesis,,,"1:2; 1:4-5"

Earth,Earth,Genesis,,,"1:1-2; 1:10-12; 1:24-26; 1:28; 2:1; 2:4-6; 4:10-14"

Earth,"Fire - Flame, Flaming",Genesis,,,"3:24"

Earth,"The Heavens",Genesis,,,"1:1; 1:6-9; 1:14-17; 1:20; 2:1; 2:4"

Earth,Land,Genesis,,,"1:9-10; 1:25; 2:5-7; 2:9; 2:11-12; 2:19-20; 3:14; 3:17-19; 3:23; 4:10-12"

Earth,Light,Genesis,,,"1:2-5; 1:14-18"

Earth,"Plants, Trees",Genesis,,,"1:11-12; 1:29-30; 2:9; 2:15-16; 3:1-6; 3:8; 3:11-12; 3:17; 3:22; 3:24"
Earth,"Plants, Trees",Psalms,,,"1:3"

Earth,"Plants, Fruits & Seeds",Genesis,,,"1:11-12; 1:29; 3:6; 3:12; 4:3"
Earth,"Plants, Fruits & Seeds",Psalms,,,"1:3"

Earth,"Plants, Grass, Herbs, Thistles & Thorns",Genesis,,,"1:11-12; 1:29-30; 2:5-6; 3:7; 3:18"

Earth,"Stone, Gems & Minerals",Genesis,,,"2:11-12"

Earth,Time,Genesis,,,"1:1; 1:5; 1:13-14; 1:19; 1:23; 1:31; 2:2-3; 3:8; 3:14; 4:3"
Earth,Time,Psalms,,,"1:2-3"

Earth,Water,Genesis,,,"1:2; 1:6-7; 1:9-10; 1:20-22; 2:10-14"
Earth,Water,Psalms,,,"1:3; 110:7"

Earth,Weather,Genesis,,,"2:5-6"

Earth,Wither,Psalms,,,"1:3"
