MainTopic,SubTopic,Book,Chapter,Verse
Sin,Corruption,Genesis,6,1
Sin,Corruption,Genesis,6,2
Sin,Corruption,Genesis,6,3
Sin,Corruption,Genesis,6,11
Sin,Corruption,Genesis,6,12
Sin,Corruption,Genesis,6,13

Sin,Disobey,Genesis,4,6
Sin,Disobey,Genesis,4,7

Sin,The Fall,Genesis,3,1
Sin,The Fall,Genesis,3,2
Sin,The Fall,Genesis,3,3
Sin,The Fall,Genesis,3,4
Sin,The Fall,Genesis,3,5
Sin,The Fall,Genesis,3,6
Sin,The Fall,Genesis,3,7
Sin,The Fall,Genesis,3,8
Sin,The Fall,Genesis,3,9
Sin,The Fall,Genesis,3,10
Sin,The Fall,Genesis,3,11
Sin,The Fall,Genesis,3,12
Sin,The Fall,Genesis,3,13
Sin,The Fall,Genesis,3,14
Sin,The Fall,Genesis,3,15
Sin,The Fall,Genesis,3,16
Sin,The Fall,Genesis,3,17
Sin,The Fall,Genesis,3,18
Sin,The Fall,Genesis,3,19
Sin,The Fall,Genesis,3,20
Sin,The Fall,Genesis,3,21
Sin,The Fall,Genesis,3,22
Sin,The Fall,Genesis,3,23
Sin,The Fall,Genesis,3,24

Sin,Murder,Genesis,4,8
Sin,Murder,Genesis,4,13
Sin,Murder,Genesis,4,14
Sin,Murder,Genesis,4,15

Sin,Sin,Genesis,4,6
Sin,Sin,Genesis,4,7

Sin,Vengeance,Genesis,4,15
